id|groupe|nom|ministère_interrogé|rubrique|titre|date|question
11|Rassemblement National|Mme Marie-France Lorho|Europe et affaires étrangères|immigration|Défaillances de l'UE en matière d'immigration illégale (Mellila)|05/07/2022|Mme Marie-France Lorho interroge Mme la ministre de l'Europe et des affaires étrangères sur les récentes défaillances de l'Union européenne survenues à Mellila en matière d'immigration illégale. Vendredi 24 juin 2022, à Mellila, près de 2 000 immigrés en situation irrégulière ont tenté de rentrer par la force sur le territoire espagnol. À l'occasion de ce que le premier ministre du pays a justement dénommé une « attaque contre l'intégrité territoriale », plusieurs dizaines d'individus ont trouvé la mort. Comme sa ville voisine de Ceuta, cette enclave espagnole de Mellila, sur la côte septentrionale du Maroc, est l'une des deux seules frontières terrestres de l'Union européenne sur le continent. Comme Ceuta, qui avait fait l'objet d'une violation de l'intégrité de son territoire, Mellila constitue donc une frontière poreuse, susceptible d'être l'objet d'intérêt des passeurs qui aspireraient à alimenter leur trafic. Les atteintes répétées à l'égard des frontières de l'UE (le 17 mai 2021 à Ceuta, en novembre 2021 à la frontière polonaise et biélorusse) obligent la France. Afin que de telles violations de l'intégrité du territoire de l'Union européenne ne se répètent, engendrant son lot de drames humains, la France doit porter une position ferme auprès de la Commission pour sécuriser davantage les frontières. Elle lui demande si elle entend porter cette voix à l'occasion de son mandat.
12|Renaissance|Mme Marie-Pierre Rixain|Comptes publics|impôt sur le revenu|Fiscalité des prestations compensatoires|05/07/2022|Mme Marie-Pierre Rixain attire l'attention de M. le ministre délégué auprès du ministre de l'économie, des finances et de la souveraineté industrielle et numérique, chargé des comptes publics, sur la fiscalité des prestations compensatoires. La prestation compensatoire est la prestation qui permet d'effacer les déséquilibres financiers causés par le divorce dans les conditions de vie des ex-époux. En ce qui concerne l'impôt sur le revenu, le régime fiscal de la prestation compensatoire s'articule autour de deux principes majeurs. Premièrement, si le débiteur de la prestation compensatoire (l'ex-conjoint qui la verse) s'acquitte de son obligation en numéraire dans les douze mois à compter de la date à laquelle le jugement est passé en force de chose jugée, alors il bénéficie d'une réduction d'impôt sur le revenu égale à 25 % du montant fixé par le juge, retenu dans la limite de 30 500 euros, conformément aux dispositions de l'article 199 octodecies du CGI. L'ex-conjoint qui reçoit la prestation compensatoire n'est alors pas imposé sur les sommes reçues. Deuxièmement, lorsque le capital en numéraire est libéré sur une période supérieure à douze mois ou lorsque la prestation compensatoire est servie sous forme de rentes, les versements suivent en revanche le régime des pensions alimentaires. Ils sont par conséquent déductibles pour le débiteur et imposables au nom du bénéficiaire. L'ex-conjoint qui verse la prestation compensatoire bénéficie d'une déduction du revenu global au titre des pensions alimentaires. L'ex-conjoint qui reçoit la prestation compensatoire est imposé sur les sommes perçues selon le régime fiscal applicable aux pensions alimentaires. Cette deuxième situation interroge en matière d'équité et de justice. En effet, l'ex-conjoint qui verse la prestation compensatoire et qui bénéficie d'une facilité de paiement est en plus gratifié d'une déduction du revenu global au titre des pensions alimentaires, tandis que l'ex-conjoint qui reçoit la prestation compensatoire est imposé sur les sommes perçues en plus de souffrir d'un paiement différé et étalé de son dû. Pour rappel, les inégalités économiques et professionnelles entre les femmes et les hommes sont encore telles que l'ex-conjoint lésé se trouve quasi-majoritairement être une femme. Aussi, elle lui demande dans quelle mesure il est possible de revoir ce principe afin d'appliquer le même traitement fiscal aux prestations compensatoires plutôt qu'un traitement différencié selon le mode de versement, qui plus est à la défaveur de l'ex-conjoint le plus économiquement fragile.
13|Renaissance|Mme Marie-Pierre Rixain|Comptes publics|impôt sur le revenu|Individualisation du taux de prélèvement à la source|05/07/2022|Mme Marie-Pierre Rixain attire l'attention de M. le ministre délégué auprès du ministre de l'économie, des finances et de la souveraineté industrielle et numérique, chargé des comptes publics, sur la nécessité d'individualiser, par défaut, le taux de prélèvement à la source au sein d'un même foyer. Le taux de prélèvement à la source pour un foyer est calculé sur la base de la dernière déclaration de revenus et tient compte de l'ensemble des revenus et des charges du foyer. Une fois ce taux personnalisé établi, il s'applique pareillement à chacun des conjoints, indistinctement de leurs revenus propres. Sans démarche de la part des conjoints, c'est ce taux de prélèvement qui est utilisé par l'administration fiscale et qui s'applique donc par défaut. Néanmoins, même en couple, il est possible d'opter pour un taux de prélèvement individualisé afin de prendre en compte les écarts de revenus entre conjoints. Le taux est calculé par l'administration fiscale en fonction des revenus de chacun et est donc différent pour chacun des conjoints. Il ne s'agit pas d'une individualisation de l'impôt mais d'une répartition différente du paiement de l'impôt. L'impôt reste calculé en fonction des revenus du couple et du nombre de parts de quotient familial, cette méthode évitant d'imposer au conjoint ayant les plus faibles revenus un taux de prélèvement à la source disproportionné. Or, à la lumière du phénomène de violences économiques identifié par le Grenelle des violences conjugales en 2019, ainsi que par les travaux de la délégation aux droits des femmes et à l'égalité des chances entre les hommes et les femmes de l'Assemblée nationale en 2020, ou plus récemment par la loi du 24 décembre 2021 visant à accélérer l'égalité économique et professionnelle, il semble qu'inverser cette logique permette à de nombreuses femmes d'assurer leur autonomie économique en payant un impôt juste, à la hauteur de leurs revenus. Pour rappel, l'Insee a montré que les écarts de revenus entre les femmes et les hommes étaient plus marqués pour les personnes en couple : en moyenne, les femmes vivant en couple perçoivent un revenu annuel inférieur de 42 % à celui de leur conjoint quand cet écart n'est que de 9 % entre les femmes et les hommes sans conjoint. Il faut rappeler également la récente enquête de l'Ined qui tend à objectiver la tendance à l'appropriation masculine des biens du ménage. Ainsi, le couple doit constituer un point d'attention fort dans la réduction des inégalités économiques entre les femmes et les hommes. Instaurer, par défaut, un taux personnalisé commun aux deux conjoints est un choix. Instaurer, par défaut, un taux individualisé en est un autre, celui de l'autonomie économique des individus. Aussi, elle lui demande dans quelle mesure il est possible d'instaurer un taux individualisé par défaut tout en laissant, par la suite, la possibilité pour un couple d'opter pour un taux commun.
14|Renaissance|Mme Marie-Pierre Rixain|Transition écologique et cohésion des territoires|nuisances|Nuisances aériennes|05/07/2022|Mme Marie-Pierre Rixain appelle l'attention de Mme la ministre de la transition écologique et de la cohésion des territoires sur les nuisances aériennes en Essonne. Avec quatre années de retard, les préfectures de l'Essonne, des Hauts-de-Seine, de la Seine-et-Marne et du Val-de-Marne ont validé, en mars 2022, le plan de prévention du bruit dans l'environnement (PPBE) 2018-2023 de l'aéroport Paris-Orly. Un document censé réduire les nuisances subies par près de 2 millions de riverains de l'aéroport. Si on peut se réjouir que le document permette d'étudier l'impact sonore d'un allongement de la piste 3 vers l'ouest, d'améliorer les aides à l'insonorisation et l'isolation phonique des bâtiments, de renforcer les performances acoustiques des moteurs, d'inciter à la procédure de descente continue des avions, ou encore de taxer davantage les aéronefs les plus bruyants, on peut regretter que l'avis majoritaire des associations et des élus n'ait pas pu peser davantage dans les débats. En tout état de cause, un meilleur dialogue, ainsi que des objectifs plus ambitieux doivent être garantis dans le prochain PPBE qui doit couvrir la période 2024-2028 et qui ne pourra pas souffrir du retard de son prédécesseur. De même, ce PPBE n'apporte pas de réponses quant à la problématique sanitaire des nuisances aériennes. Pour rappel, les conséquences des nuisances aériennes sur la santé sont réelles pour les habitants de l'Essonne : d'après la dernière évaluation de Bruitparif, le seul impact du bruit ferait perdre 31,5 mois de vie en bonne santé aux habitants de Champlan qui se situent dans l'axe des pistes de l'aéroport Paris Orly contre 1,9 mois en moyenne pour le reste des Franciliens. Aussi, au vu du retard pris, elle souhaite savoir comment ce plan va s'articuler avec celui qui doit s'ouvrir pour la période 2024-2028 et quels gages seront donnés par l'État pour agir contre les conséquences sanitaires des nuisances aériennes dans le sud francilien.
15|Renaissance|M. Didier Martin|Intérieur|papiers d'identité|Réduction des délais de délivrance des titres d'identité|05/07/2022|M. Didier Martin interroge M. le ministre de l'intérieur sur les moyens mis en œuvre par le Gouvernement pour réduire les délais de délivrance des titres d'identité. Depuis la fin de l'année 2021, les délais d'attente pour la délivrance de titres d'identité, qu'il s'agisse de passeports ou de cartes d'identité, ont considérablement augmenté sur l'ensemble du territoire national. Alors que le délai moyen s'établissait à 11,5 jours en moyenne en avril 2021, il était de 65 jours fin avril 2022. Actuellement, il dépasse même 100 jours dans certains départements. Plusieurs facteurs expliquent ce phénomène. La fin des périodes de confinement a tout d'abord incité les Français, qui avaient connu des restrictions de circulation strictes, à demander de nouveaux papiers d'identité afin de se déplacer à l'étranger, pour des raisons professionnelles ou personnelles. À ce titre, l'Agence nationale des titres sécurisés (ANTS) considère que ce sont un million de cartes d'identité qui auraient dû être renouvelées en 2021 et qui ne l'ont pas été, entraînant ainsi une charge supplémentaire pour les services en 2022. L'approche de la période estivale et des examens, la sortie du Royaume-Uni de l'Union européenne, ainsi que l'attrait suscité par la nouvelle carte d'identité électronique, plus pratique, plus esthétique et plus sécurisée, ont également largement contribué à une hausse des demandes de titres d'identité. Pour garantir une gestion plus efficace des demandes, le Gouvernement a proposé le 4 mai 2022 un plan d'urgence visant à améliorer les délais de délivrance des passeports et des cartes nationales d'identité, ainsi que le déploiement de la nouvelle carte nationale d'identité. Parmi les mesures proposées figurent la création de 400 nouveaux dispositifs de recueil des demandes, une intensification du dialogue entre préfets et maires, une optimisation des services rendus à la population, une priorisation des demandes les plus urgentes ainsi qu'un recours plus systématique à la pré-demande en ligne sur le site internet de l'Agence nationale des titres sécurisés (ANTS). Pour aider les communes se mobilisant dans cet effort collectif, une enveloppe exceptionnelle de 10 millions d'euros a même été dégagée. Il souhaiterait savoir quel bilan le Gouvernement tire de la mise en place de ces mesures d'urgence destinées à permettre un retour à la normale en matière de délais de délivrance et si certaines mesures complémentaires sont envisagées à l'approche de la période estivale des départs en vacances.
16|Gauche démocrate et républicaine - NUPES|M. Stéphane Peu|Intérieur|papiers d'identité|Renouvellement des documents d'identité : des mesures sont attendues|05/07/2022|M. Stéphane Peu alerte M. le ministre de l'intérieur sur l'engorgement de la procédure de renouvellement des documents d'identité (passeport et carte nationale d'identité). Depuis plusieurs mois, les délais d'attente pour obtenir un rendez-vous dans les mairies de France afin de faire ou refaire des titres d'identité s'allongent jusqu'à parfois dépasser les 100 jours. À l'approche des congés d'été, cette situation place les familles dans d'importantes difficultés, les obligeant parfois à renoncer à un déplacement ou à un voyage à l'étranger. Il ne se passe d'ailleurs plus une journée sans que M. le député ne soit sollicité par des habitants de sa circonscription sur ce sujet. Si cette situation était présentée comme une conséquence directe de la crise sanitaire et du Brexit, sa persistance interroge. Car, en effet, le plan d'urgence annoncé par le Gouvernement en mai 2022 pour remédier à cette saturation ne semble pas avoir eu véritablement de résultat. Les usagers peinent toujours autant à décrocher un rendez-vous et, quand ils l'obtiennent, c'est le traitement et la production des documents qui se trouvent être particulièrement longs : plusieurs mois, par exemple, en Seine-Saint-Denis. En outre, cet engorgement dégrade considérablement la relation des usagers avec le service public. Aussi, il souhaite connaître les nouvelles mesures qu'il envisage de prendre pour désengorger le système car, de toute évidence, il ne suffit plus d'augmenter le nombre de créneaux de rendez-vous pour rendre la procédure plus fluide.
17|Rassemblement National|Mme Marie-France Lorho|Culture|patrimoine culturel|Conséquences de certaines dispositions européennes sur l'artisanat français|05/07/2022|Mme Marie-France Lorho interroge Mme la ministre de la culture sur les conséquences de certaines dispositions européennes sur l'artisanat français. Conséquence d'une demande de la Suède, l'Union européenne a récemment lancé une consultation publique relative à l'interdiction du plomb au sein des pays de l'UE. Le plomb est un matériau utilisé dans certaines branches de l'artisanat français ; il est notamment essentiel au métier pluri-centenaire des maîtres verriers, concepteurs de vitraux dont le savoir-faire d'exception constitue en soi un patrimoine français et européen inestimable. Avec l'interdiction du plomb, les professionnels de ce secteur devront mettre la clef sous la porte ; de même, la restauration de certains morceaux du patrimoine français deviendra impossible. « En restauration, ça veut dire que tout le patrimoine français, qui représente 60 % des vitraux du monde, est à l'abandon », notait à cet égard un professionnel du domaine. Elle lui demande quelle position va adopter la France sur cette interdiction qui risque de porter un préjudice irréparable à un savoir-faire particulièrement emblématique du patrimoine national.
18|Renaissance|Mme Danielle Brulebois|Intérieur|pharmacie et médicaments|Niveau de qualification des pharmaciens dans les PUI des SDIS|05/07/2022|Mme Danielle Brulebois attire l'attention de M. le ministre de l'intérieur sur les modalités de recrutement de pharmaciens dans les PUI (pharmacies à usage interne) de SDIS. Depuis le décret n° 2015-9 du 7 janvier 2015 relatif aux conditions d'exercice et de remplacement au sein des pharmacies à usage intérieur, il n'est possible de recruter que des pharmaciens inscrits en section H (pharmaciens des établissements de santé ou médicosociaux et des services d'incendie et de secours). Ce type de profil est particulièrement rare, a fortiori dans des départements ruraux tels que le Jura. Aujourd'hui les services du SDIS du Jura risquent de devoir se priver de leur PUI par défaut d'effectifs. Par ailleurs, l'on peut s'interroger sur le niveau de compétences exigé car le travail de pharmacien gérant de PUI de SDIS ne relève pas des compétences des pharmaciens hospitaliers, puisqu'aucun produit à délivrance hospitalière stricte, hormis le midazolam, n'est délivré et qu'aucun produit n'est fabriqué ou reconstitué sur place. Elle souhaite donc connaître les pistes de réflexion quant aux niveau de qualification des pharmaciens dans les PUI des SDIS afin que ces derniers puissent conserver une gestion départementale de leurs pharmacies pour une prise en charge la plus efficace des victimes.
19|Horizons et apparentés|M. Thierry Benoit|Santé et prévention|pharmacie et médicaments|Prescription de psychostimulants aux enfants hyperactifs|05/07/2022|M. Thierry Benoit attire l'attention de Mme la ministre de la santé et de la prévention sur la question de l'évolution des statistiques de consommation de psychostimulants pour les enfants dits « hyperactifs ». La Commission des citoyens pour les droits de l'homme (CCDH), association luttant pour le respect de la dignité et des droits fondamentaux en psychiatrie, s'inquiète de l'évolution des statistiques de consommation de psychostimulants pour les enfants dits « hyperactifs » (Ritaline, Medikinet, Concerta et Quasym). Selon l'assurance maladie (source Medic'am), on est passé de 246 015 boîtes de psychostimulants remboursées en 2008 contre 1 246 934 boîtes en 2021, soit une augmentation de 406 % entre 2008 et 2021. L'association souhaite attirer l'attention sur le fait que, depuis le 13 septembre 2021, sur décision de l'Agence nationale de sécurité du médicament et des produits de santé (ANSM), la prescription initiale de Medikinet, Quasym, Ritaline et Concerta n'est plus réservée aux médecins hospitaliers pour un enfant « diagnostiqué TDAH » (trouble du déficit de l'attention avec/sans hyperactivité). Leur prescription peut désormais être initiée en ville par les neurologues, psychiatres et pédiatres. Cette évolution des conditions de prescription, sur décision de l'Agence nationale de sécurité du médicament et des produits de santé (ANSM), vise à améliorer la prise en charge précoce du TDAH. Mais l'association pointe du doigt le problème que représente une augmentation de consommation de stupéfiants pour les enfants trop énergiques ou ayant des difficultés d'attention. Est-il souhaitable de « corriger » un comportement par un stupéfiant ? Aussi, il souhaite demander au Gouvernement ce qu'il compte faire pour enrayer cette tendance alarmante à la consommation de psychostimulants chez les enfants. Prévoit-il, par exemple, de revenir en arrière et autoriser uniquement les spécialistes hospitaliers à initier une prescription ? Il lui demande son avis sur le sujet.
20|Renaissance|Mme Carole Grandjean|Santé et prévention|police|Soutien à l'intervenant social en commissariat|05/07/2022|Mme Carole Grandjean attire l'attention de Mme la ministre de la santé et de la prévention sur le soutien à l'intervenant social en commissariat. Impulsé à Nancy, ce dispositif innovant propose, en coordination avec les services de police, l'intervention d'un travailleur social pour traiter de situations ne relevant d'aucun caractère pénal ni judiciaire, mais nécessitant une réponse sur le plan social ou psychiatrique. Le travailleur social est ainsi chargé de servir de lien avec les partenaires sociaux et d'engager si nécessaire une démarche d'aide auprès des personnes interpellées, en coopération avec un infirmier psychiatrique mis à disposition par le centre psychothérapique de Nancy (CPN). Le financement du dispositif est assuré par le conseil départemental, le CPN par la mise à disposition d'un infirmier psychiatrique et par le contrat urbain de cohésion sociale. Attestant de l'importance des missions qu'elle exerce, l'équipe a ainsi accompagné 1 065 personnes en 2021, dont 31 mineurs. Elle appelle ainsi le Gouvernement à apporter durablement son concours financier à ce dispositif, tant nécessaire qu'innovant, afin d'accroître la visibilité et la lisibilité du dispositif lancé par l'association ARS sur le territoire meurthe-et-mosellan et lui demande ses intentions à ce sujet.
21|Renaissance|Mme Danielle Brulebois|Santé et prévention|professions de santé|Autorisation d'exercice pour les audioprothésistes formés à l'étranger|05/07/2022|Mme Danielle Brulebois attire l'attention de Mme la ministre de la santé et de la prévention sur l'autorisation d'exercice pour les audioprothésistes formés à l'étranger. Pour pouvoir exercer en France, ils doivent réaliser des mesures compensatoires, qui sont particulièrement difficiles à mettre en œuvre. Le rapport de novembre 2021 portant sur l'évaluation de la filière auditive établi par l'inspection générale des affaires sociales (IGAS) et l'inspection générale de l'éducation, du sport et de la recherche (IGÉSR) rappelle ces éléments. S'agissant de la formation des audioprothésistes, dont la maquette n'a pas connu d'évolution depuis vingt ans, la réingénierie du diplôme d'État est désormais urgente. Elle devrait aller de pair avec la reconnaissance du grade de licence, le développement d'une offre de masters spécialisés et le renforcement des mutualisations et des passerelles avec les autres formations paramédicales. Le rapport recommande également l'assouplissement des modalités de réalisation des stages et l'harmonisation à l'échelle nationale des critères d'agrément des maîtres de stage. Afin de tempérer le recours aux formations semi-présentielles en Espagne qui, quoique conforme au droit européen, a pris une extension considérable et pour faire face à la demande d'audioprothésistes sur le marché, le rapport préconise une augmentation du nombre de diplômés en France. Suite à ces conclusions, elle souhaiterait connaître les intentions du Gouvernement quant à la mise en œuvre des préconisations du rapport afin que les territoires ruraux puissent compter suffisamment d'audioprothésistes.
